feature_rank,gene_name_norm,gene_name,gene_id,train_prevalence,mean_log2_tpm_train,variance_log2_tpm_train
591,TRIM31,TRIM31,ENSG00000204616,0.9777777777777777,2.110746336611422,2.2714211313782164
592,TMPRSS2,TMPRSS2,ENSG00000184012,1.0,5.380370570524822,2.2711696070911382
593,ITGA2,ITGA2,ENSG00000164171,1.0,4.900318269395874,2.268299690214
594,CCL8,CCL8,ENSG00000108700,1.0,3.3067707139068316,2.2661550402022907
595,SORCS2,SORCS2,ENSG00000184985,0.9916666666666667,3.0488467020158825,2.2619455246098985
596,F5,F5,ENSG00000198734,0.9944444444444445,2.0351259993424606,2.2601858027723347
597,RNASE1,RNASE1,ENSG00000129538,1.0,10.086095738994835,2.2581775659972685
598,FOS,FOS,ENSG00000170345,1.0,7.8625767145843115,2.2566625811424403
599,LIPH,LIPH,ENSG00000163898,1.0,5.361877704152708,2.255768782683158
600,SMIM31,SMIM31,ENSG00000248771,0.8583333333333333,2.1006900805742186,2.2554852362626723
601,IP6K3,IP6K3,ENSG00000161896,0.9583333333333334,1.6886771010152195,2.251210767331618
602,IGFBPL1,IGFBPL1,ENSG00000137142,0.9861111111111112,2.9598773277714736,2.2488793588296794
603,SERPINE1,SERPINE1,ENSG00000106366,1.0,6.18536826846308,2.2476133911127247
604,CYP2S1,CYP2S1,ENSG00000167600,1.0,4.369116612846862,2.247297332920615
605,TPX2,TPX2,ENSG00000088325,1.0,5.010828614508264,2.2471697557479664
606,FHL1,FHL1,ENSG00000022267,1.0,3.9320517483944095,2.2469996453260936
607,LTK,LTK,ENSG00000062524,0.9972222222222222,2.743316664535009,2.24188869074137
608,RTN4RL2,RTN4RL2,ENSG00000186907,0.9944444444444445,3.16021578640813,2.240938961979566
609,SLC2A1,SLC2A1,ENSG00000117394,1.0,5.677305345646755,2.2392342363506934
610,PSAT1,PSAT1,ENSG00000135069,1.0,4.721683112289706,2.2371861435176696
611,SMKR1,SMKR1,ENSG00000240204,0.9944444444444445,2.790693135570461,2.2370226459705975
612,SCIN,SCIN,ENSG00000006747,1.0,3.006399489757776,2.2352500354407066
613,TMEM63C,TMEM63C,ENSG00000165548,0.9444444444444444,2.2205858229316178,2.234814031369801
614,F13A1,F13A1,ENSG00000124491,1.0,4.691775756800668,2.2295575326760626
615,PTPRN2,PTPRN2,ENSG00000155093,1.0,3.139763398185977,2.228979013153239
616,ROPN1L,ROPN1L,ENSG00000145491,0.9805555555555555,1.7965678305791941,2.228057609069265
617,GABRE,GABRE,ENSG00000102287,1.0,2.709911783104234,2.2246745073449374
618,EPHX3,EPHX3,ENSG00000105131,1.0,4.256358064032133,2.220979845715534
619,MYH11,MYH11,ENSG00000133392,1.0,3.6011581834098294,2.219648557220958
620,PTGES,PTGES,ENSG00000148344,1.0,5.441327093327512,2.2193754083938457
621,MT-ND6,MT-ND6,ENSG00000198695,1.0,12.04233303844912,2.2142603462458195
622,RAMP1,RAMP1,ENSG00000132329,1.0,5.97592692203367,2.2108412434353286
623,TMEM213,TMEM213,ENSG00000214128,0.8694444444444445,1.627075687918401,2.2102042384679663
624,NPTX2,NPTX2,ENSG00000106236,0.9888888888888889,1.9441904454537084,2.208316636879852
625,PARM1,PARM1,ENSG00000169116,1.0,6.400578910479234,2.2050597326498953
626,JSRP1,JSRP1,ENSG00000167476,0.9972222222222222,2.4995070801877994,2.2030157393491074
627,PRRX2,PRRX2,ENSG00000167157,0.9972222222222222,3.110193159538452,2.202289489337211
628,CHL1,CHL1,ENSG00000134121,0.9916666666666667,2.6295658137935916,2.2007101575001524
629,DUOXA1,DUOXA1,ENSG00000140254,0.9861111111111112,2.9957517104144604,2.200488251637046
630,CFD,CFD,ENSG00000197766,1.0,5.520328164616683,2.1982897765788176
631,INHBB,INHBB,ENSG00000163083,1.0,4.223023426249708,2.1978342832839552
632,BEX2,BEX2,ENSG00000133134,0.9972222222222222,4.57770619192927,2.1972419305463835
633,MAPK15,MAPK15,ENSG00000181085,0.9972222222222222,3.168008356069729,2.1951368607534536
634,TXNRD1,TXNRD1,ENSG00000198431,1.0,6.711276906692343,2.194015189720461
635,CSF2,CSF2,ENSG00000164400,0.9888888888888889,2.389530460208125,2.1937703904601586
636,DEGS2,DEGS2,ENSG00000168350,1.0,2.6344996082237393,2.1912659682016535
637,LRRN1,LRRN1,ENSG00000175928,0.9861111111111112,2.195853741624374,2.188710058178904
638,CSF3,CSF3,ENSG00000108342,0.8861111111111111,1.6139751079659104,2.1865806126135547
639,SAA2,SAA2,ENSG00000134339,0.9305555555555556,1.8434065669540605,2.185883482454531
640,FST,FST,ENSG00000134363,1.0,2.4838771297696542,2.1808034450284906
641,CA4,CA4,ENSG00000167434,0.875,1.7652035737977791,2.1791682584011864
642,CDC20,CDC20,ENSG00000117399,1.0,5.189685207101171,2.1778890962915565
643,HCAR1,HCAR1,ENSG00000196917,0.9472222222222222,2.2752960088702445,2.1739767872136615
644,BIRC5,BIRC5,ENSG00000089685,1.0,4.51087901424755,2.172568745649212
645,SPATA18,SPATA18,ENSG00000163071,1.0,2.6378952563087075,2.1719369313771817
646,CIT,CIT,ENSG00000122966,1.0,3.257394039625219,2.1716403778112086
647,SEZ6L2,SEZ6L2,ENSG00000174938,1.0,5.822437823770974,2.169164742806494
648,MACROD2,MACROD2,ENSG00000172264,0.9916666666666667,2.1863982325725293,2.167951907740016
649,IFI6,IFI6,ENSG00000126709,1.0,9.113702453533447,2.1660946090267617
650,DRC1,DRC1,ENSG00000157856,0.9111111111111111,1.7206971208935762,2.1658266832596165
651,HLA-DQB1,HLA-DQB1,ENSG00000179344,1.0,6.925637071457929,2.164871324102735
652,MUC20,MUC20,ENSG00000176945,0.9972222222222222,3.79160343500015,2.1627059881849373
653,SNTN,SNTN,ENSG00000188817,0.9083333333333333,1.8062658006313528,2.160898471532743
654,KCNK3,KCNK3,ENSG00000171303,1.0,2.4104388851643055,2.1592141670345217
655,MFAP5,MFAP5,ENSG00000197614,0.9777777777777777,2.02602567913043,2.1587174804317706
656,SCUBE3,SCUBE3,ENSG00000146197,1.0,2.3461368404875595,2.156811062462865
657,HIF3A,HIF3A,ENSG00000124440,0.9861111111111112,2.1499582220766875,2.1560993543575
